j_exp,V_exp
0,0
0.013067455242966708,0.4736111111111114
0.4661125319693094,1.0923611111111118
0.5812553282182438,1.1840277777777786
0.7808415032679736,1.3520833333333342
0.9829763427109974,1.5048611111111114
1.1825447570332481,1.6423611111111116
1.3821087311736289,1.772222222222223
1.5561016979255469,1.9097222222222228
1.7863695296959363,2.062500000000001
1.98850436913896,2.2152777777777786
