electrode,j,T,V_rev,eta_act,eta_ohm,eta_conc,V_cell,model_act,j0_T,r_total,j_lim
Ni-OER-Lee2022,0.01,293.15,1.2257765601149282,0.05688895621912146,0.014300662824207493,2.5287007903725702e-05,1.296991466166161,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,0.08610169491525424,293.15,1.2257765601149282,0.08074160098723612,0.12313113075758317,0.00021940218490471017,1.429868694044652,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,0.1622033898305085,293.15,1.2257765601149282,0.08775859631232702,0.23196159869095886,0.00041654721247177696,1.545913302330686,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,0.23830508474576273,293.15,1.2257765601149282,0.09202095883128025,0.34079206662433453,0.0006168181752907213,1.6592064037458336,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,0.314406779661017,293.15,1.2257765601149282,0.09509153905709272,0.44962253455771023,0.0008203158024438821,1.771310949532175,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,0.39050847457627125,293.15,1.2257765601149282,0.09749319615730825,0.5584530024910859,0.0010271457716437996,1.882749904534966,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,0.46661016949152545,293.15,1.2257765601149282,0.0994658747554672,0.6672834704244616,0.0012374190387934466,1.9937633243336503,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,0.5427118644067797,293.15,1.2257765601149282,0.10113984384619149,0.7761139383578372,0.0014512521954459462,2.1044815945144024,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,0.618813559322034,293.15,1.2257765601149282,0.10259378243018646,0.884944406291213,0.0016687678570469465,2.2149835166933745,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,0.6949152542372882,293.15,1.2257765601149282,0.10387887072565372,0.9937748742245885,0.0018900950851964801,2.325320400150367,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,0.7710169491525425,293.15,1.2257765601149282,0.10503027789542699,1.1026053421579642,0.0021153698475713397,2.435527550015891,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,0.8471186440677966,293.15,1.2257765601149282,0.10607321428345637,1.2114358100913398,0.0023447355196119066,2.545630320009336,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,0.9232203389830509,293.15,1.2257765601149282,0.10702636926202519,1.3202662780247156,0.002578343432608781,2.655647550834278,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,0.9993220338983052,293.15,1.2257765601149282,0.10790398276733679,1.4290967459580912,0.0028163534734361195,2.765593642313792,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,1.0754237288135593,293.15,1.2257765601149282,0.10871715442936178,1.5379272138914668,0.0030589347418840543,2.875479863177641,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,1.1515254237288137,293.15,1.2257765601149282,0.10947470404526502,1.6467576818248428,0.003306266272358769,2.9853152122573947,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,1.227627118644068,293.15,1.2257765601149282,0.11018375613176981,1.7555881497582184,0.0035585378276651093,3.0951070038325814,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,1.303728813559322,293.15,1.2257765601149282,0.11085014836040452,1.8644186176915936,0.003815950773687647,3.2048612769406137,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,1.3798305084745763,293.15,1.2257765601149282,0.11147872394671465,1.9732490856249696,0.004078719045070123,3.3145830887316827,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,1.4559322033898305,293.15,1.2257765601149282,0.11207354544064316,2.082079553558345,0.004347070213495593,3.424276729327412,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,1.532033898305085,293.15,1.2257765601149282,0.11263805398400231,2.190910021491721,0.004621246671933175,3.533945882262585,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,1.6081355932203392,293.15,1.2257765601149282,0.11317518991999401,2.299740489425097,0.004901506950293529,3.6435937464103123,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,1.6842372881355931,293.15,1.2257765601149282,0.11368748549043037,2.408570957358472,0.005188127180389162,3.75322313014422,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,1.7603389830508476,293.15,1.2257765601149282,0.11417713703053467,2.517401425291848,0.005481402731004784,3.8628365251683157,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,1.8364406779661018,293.15,1.2257765601149282,0.11464606187316198,2.6262318932252238,0.005781650037346255,3.9724361652506603,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,1.912542372881356,293.15,1.2257765601149282,0.11509594369120718,2.735062361158599,0.006089208653274266,4.082024073618009,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,1.9886440677966104,293.15,1.2257765601149282,0.11552826898742302,2.843892829091975,0.006404443559693292,4.19160210175402,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,2.064745762711864,293.15,1.2257765601149282,0.11594435672798056,2.9527232970253503,0.006727747768447536,4.301171961636706,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,2.1408474576271184,293.15,1.2257765601149282,0.11634538260985267,3.0615537649587257,0.007059545268314304,4.41073525295182,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,2.216949152542373,293.15,1.2257765601149282,0.11673239908745697,3.170384232892102,0.007400294368486879,4.520293486462974,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,2.293050847457627,293.15,1.2257765601149282,0.11710635201789485,3.2792147008254777,0.00775049150569373,4.629848104463995,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,2.369152542372881,293.15,1.2257765601149282,0.11746809458758609,3.3880451687588526,0.008110675594310343,4.7394004990556775,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,2.4452542372881356,293.15,1.2257765601149282,0.11781839903631094,3.496875636692229,0.00848143301513289,4.8489520288586005,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,2.52135593220339,293.15,1.2257765601149282,0.11815796658390054,3.6057061046256043,0.008863403358744503,4.958504034683178,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,2.5974576271186436,293.15,1.2257765601149282,0.11848743588041333,3.7145365725589796,0.009257286064724386,5.068057854619046,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,2.6735593220338982,293.15,1.2257765601149282,0.11880739023574544,3.823367040492356,0.009663848129792658,5.177614838972822,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,2.7496610169491524,293.15,1.2257765601149282,0.1191183638343104,3.9321975084257312,0.010083933098305036,5.287176365473274,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,2.8257627118644066,293.15,1.2257765601149282,0.11942084710110654,4.041027976359107,0.010518471599937036,5.396743855175079,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,2.901864406779661,293.15,1.2257765601149282,0.11971529135453696,4.149858444292483,0.01096849376549184,5.50631878952744,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,2.9779661016949155,293.15,1.2257765601149282,0.12000211285680631,4.258688912225859,0.01143514393741069,5.615902729135004,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,3.0540677966101697,293.15,1.2257765601149282,0.12028169635313476,4.3675193801592345,0.011919698203515969,5.725497334830814,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,3.1301694915254235,293.15,1.2257765601149282,0.1205543981753048,4.476349848092609,0.012423585430229787,5.835104391813072,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,3.206271186440678,293.15,1.2257765601149282,0.12082054897235181,4.585180316025986,0.012948412668372412,5.944725837781638,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,3.2823728813559323,293.15,1.2257765601149282,0.12108045612089366,4.694010783959361,0.01349599606985443,6.054363796265037,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,3.358474576271186,293.15,1.2257765601149282,0.12133440585916819,4.802841251892736,0.014068398815046138,6.164020616681878,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
Ni-OER-Lee2022,3.4345762711864407,293.15,1.2257765601149282,0.12158266518193339,4.911671719826113,0.014667978049518192,6.273698923172493,butler-volmer,5.890586979515463e-05,1.4300662824207493,5.0
