electrode,T,j,step_name,expression,result,values
Ni-HER-Lee2022,293.15,0.1622033898305085,η_act BV Ni-HER-Lee2022,j = j0[exp(α_a nFη/RT) - exp(-α_c nFη/RT)],0.11378986102202968,"{'alpha_a': 0.78, 'alpha_c': 1.22, 'n': 2, 'F': 96485.33212, 'R': 8.314462618, 'T': 293.15, 'beta_a': 61.75353324008439, 'beta_c': 96.58885968320891, 'j': 0.1622033898305085, 'j0': 0.00014398085933793194, 'eta': 0.11378986102202968}"
Ni-HER-Lee2022,293.15,0.1622033898305085,R capa separador_Zirfon_efectivo,R = delta / kappa(T),6.628242074927953e-05,"{'delta': 0.00046, 'kappa_ref': 13.2, 'Ea_kappa': 24500, 'T': 293.15, 'T_ref': 353.15, 'kappa(T)': 6.94}"
Ni-HER-Lee2022,293.15,0.1622033898305085,Perdida ohmica total,η_ohm = j · R_total,0.23196159869095886,"{'j': 0.1622033898305085, 'R_total': 1.4300662824207493}"
Ni-HER-Lee2022,293.15,0.1622033898305085,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),5.0,"{'j_lim_ref': 5.0, 'Ea': 0.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 298.15}"
Ni-HER-Lee2022,293.15,0.1622033898305085,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),0.00041654721247177696,"{'R': 8.314462618, 'T': 293.15, 'n': 2, 'F': 96485.33212, 'j': 0.1622033898305085, 'j_lim': 5.0, 'prefactor': 0.012630856229189812}"
Ni-HER-Lee2022,293.15,0.1622033898305085,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.5719445670403884,"{'V_rev': 1.2257765601149282, 'eta_act': 0.11378986102202968, 'eta_ohm': 0.23196159869095886, 'eta_conc': 0.00041654721247177696}"
Ni-HER-Lee2022,293.15,0.23830508474576273,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2257765601149282,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 293.15, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER-Lee2022,293.15,0.23830508474576273,j0(T) Ni-HER-Lee2022,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.00014398085933793194,"{'j0_ref': 0.00234, 'Ea': 40000.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 353.15}"
Ni-HER-Lee2022,293.15,0.23830508474576273,η_act BV Ni-HER-Lee2022,j = j0[exp(α_a nFη/RT) - exp(-α_c nFη/RT)],0.12001947496233006,"{'alpha_a': 0.78, 'alpha_c': 1.22, 'n': 2, 'F': 96485.33212, 'R': 8.314462618, 'T': 293.15, 'beta_a': 61.75353324008439, 'beta_c': 96.58885968320891, 'j': 0.23830508474576273, 'j0': 0.00014398085933793194, 'eta': 0.12001947496233006}"
Ni-HER-Lee2022,293.15,0.23830508474576273,R capa separador_Zirfon_efectivo,R = delta / kappa(T),6.628242074927953e-05,"{'delta': 0.00046, 'kappa_ref': 13.2, 'Ea_kappa': 24500, 'T': 293.15, 'T_ref': 353.15, 'kappa(T)': 6.94}"
Ni-HER-Lee2022,293.15,0.23830508474576273,Perdida ohmica total,η_ohm = j · R_total,0.34079206662433453,"{'j': 0.23830508474576273, 'R_total': 1.4300662824207493}"
Ni-HER-Lee2022,293.15,0.23830508474576273,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),5.0,"{'j_lim_ref': 5.0, 'Ea': 0.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 298.15}"
Ni-HER-Lee2022,293.15,0.23830508474576273,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),0.0006168181752907213,"{'R': 8.314462618, 'T': 293.15, 'n': 2, 'F': 96485.33212, 'j': 0.23830508474576273, 'j_lim': 5.0, 'prefactor': 0.012630856229189812}"
Ni-HER-Lee2022,293.15,0.23830508474576273,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.6872049198768835,"{'V_rev': 1.2257765601149282, 'eta_act': 0.12001947496233006, 'eta_ohm': 0.34079206662433453, 'eta_conc': 0.0006168181752907213}"
Ni-HER-Lee2022,293.15,0.314406779661017,Potencial reversible (aprox. lineal),V_rev = V_ref + (ΔS/(nF))·(T - T_ref),1.2257765601149282,"{'V_ref': 1.23, 'ΔS_ref': 163.0, 'n': 2, 'F': 96485.33212, 'T': 293.15, 'T_ref': 298.15, 'slope': 0.0008446879770143449}"
Ni-HER-Lee2022,293.15,0.314406779661017,j0(T) Ni-HER-Lee2022,j0 = j0_ref * exp(-Ea/R * (1/T - 1/Tref)),0.00014398085933793194,"{'j0_ref': 0.00234, 'Ea': 40000.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 353.15}"
Ni-HER-Lee2022,293.15,0.314406779661017,η_act BV Ni-HER-Lee2022,j = j0[exp(α_a nFη/RT) - exp(-α_c nFη/RT)],0.12450724894532572,"{'alpha_a': 0.78, 'alpha_c': 1.22, 'n': 2, 'F': 96485.33212, 'R': 8.314462618, 'T': 293.15, 'beta_a': 61.75353324008439, 'beta_c': 96.58885968320891, 'j': 0.314406779661017, 'j0': 0.00014398085933793194, 'eta': 0.12450724894532572}"
Ni-HER-Lee2022,293.15,0.314406779661017,R capa separador_Zirfon_efectivo,R = delta / kappa(T),6.628242074927953e-05,"{'delta': 0.00046, 'kappa_ref': 13.2, 'Ea_kappa': 24500, 'T': 293.15, 'T_ref': 353.15, 'kappa(T)': 6.94}"
Ni-HER-Lee2022,293.15,0.314406779661017,Perdida ohmica total,η_ohm = j · R_total,0.44962253455771023,"{'j': 0.314406779661017, 'R_total': 1.4300662824207493}"
Ni-HER-Lee2022,293.15,0.314406779661017,j_lim (Arrhenius),j_lim = j_lim_ref * exp(-Ea/R * (1/T - 1/Tref)),5.0,"{'j_lim_ref': 5.0, 'Ea': 0.0, 'R': 8.314462618, 'T': 293.15, 'T_ref': 298.15}"
Ni-HER-Lee2022,293.15,0.314406779661017,η_conc,η = -(RT/(nF))·ln(1 - j/j_lim),0.0008203158024438821,"{'R': 8.314462618, 'T': 293.15, 'n': 2, 'F': 96485.33212, 'j': 0.314406779661017, 'j_lim': 5.0, 'prefactor': 0.012630856229189812}"
Ni-HER-Lee2022,293.15,0.314406779661017,V_cell,V = V_rev + η_act + η_ohm + η_conc,1.800726659420408,"{'V_rev': 1.2257765601149282, 'eta_act': 0.12450724894532572, 'eta_ohm': 0.44962253455771023, 'eta_conc': 0.0008203158024438821}"
