electrode,j,T,V_rev,eta_act,eta_ohm,eta_conc,V_cell,model_act,j0_T,r_total,j_lim,electrode_label
Ni-HER,0.01,298.0,1.2298732968034478,0.0,0.00090201312462653,3.221826407553266e-05,1.2308075281921498,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.030204081632653063,298.0,1.2298732968034478,0.02838608249818203,0.0027244478049944175,9.756002474348098e-05,1.2610813871313677,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.05040816326530612,298.0,1.2298732968034478,0.04153858612971296,0.0045468824853623045,0.00016323601063168914,1.2761220014291548,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.07061224489795918,298.0,1.2298732968034478,0.05019392447307217,0.006369317165730192,0.00022924965847231902,1.2866657881007226,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.09081632653061224,298.0,1.2298732968034478,0.05665583700869684,0.008191751846098078,0.00029560445827983686,1.2950164901165226,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.1110204081632653,298.0,1.2298732968034478,0.06181423642274211,0.010014186526465966,0.00036230395445817256,1.3020640237071142,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.13122448979591836,298.0,1.2298732968034478,0.06610775828540394,0.011836621206833852,0.0004293517469367872,1.3082470280426224,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.15142857142857144,298.0,1.2298732968034478,0.06978520065696585,0.013659055887201742,0.0004967514923365578,1.3138143048399522,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.1716326530612245,298.0,1.2298732968034478,0.0730013824766437,0.015481490567569629,0.0005645069051664246,1.3189206767528276,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.19183673469387758,298.0,1.2298732968034478,0.07585922524184116,0.01730392524793752,0.0006326217590517792,1.323669069052278,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.21204081632653063,298.0,1.2298732968034478,0.07843063460212668,0.019126359928305404,0.0007010998879956109,1.3281313912218755,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.23224489795918368,298.0,1.2298732968034478,0.080767832885182,0.020948794608673292,0.0007699451876734614,1.3323598694849765,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.2524489795918367,298.0,1.2298732968034478,0.08290994628760608,0.022771229289041173,0.0008391616167632861,1.3363936339968585,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.2726530612244898,298.0,1.2298732968034478,0.08488704799125893,0.024593663969409065,0.0009087531983113544,1.3402627619624272,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.29285714285714287,298.0,1.2298732968034478,0.0867227521935492,0.026416098649776953,0.0009787240211353674,1.3439908716679094,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.3130612244897959,298.0,1.2298732968034478,0.08843594081583014,0.028238533330144838,0.0010490782412660169,1.347596849190689,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.333265306122449,298.0,1.2298732968034478,0.09004194917360751,0.030060968010512727,0.0011198200834282581,1.3510960340709965,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.353469387755102,298.0,1.2298732968034478,0.09155340209822119,0.03188340269088061,0.0011909538425636133,1.3545010554351131,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.37367346938775514,298.0,1.2298732968034478,0.09298081731540603,0.03370583737124851,0.00126248388539488,1.3578224353754973,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.39387755102040817,298.0,1.2298732968034478,0.09433304974149753,0.03552827205161639,0.001334414652034669,1.3610690332485964,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.41408163265306125,298.0,1.2298732968034478,0.09561762451714162,0.037350706731984276,0.001406750657639251,1.3642483787102129,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.4342857142857143,298.0,1.2298732968034478,0.0968409906251497,0.03917314141235216,0.0014794964941092586,1.3673669253350589,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.45448979591836736,298.0,1.2298732968034478,0.09800871678692875,0.04099557609272005,0.001552656831838836,1.3704302465149356,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.4746938775510204,298.0,1.2298732968034478,0.09912564471785817,0.04281801077308794,0.0016262364215149125,1.3734431887159089,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.49489795918367346,298.0,1.2298732968034478,0.10019601041658004,0.04464044545345582,0.0017002400959683244,1.376409992769452,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.5151020408163265,298.0,1.2298732968034478,0.10122354116982372,0.04646288013382371,0.0017746727720785948,1.3793343908791738,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.5353061224489796,298.0,1.2298732968034478,0.10221153388347291,0.0482853148141916,0.001849539452734246,1.3822196849538464,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.5555102040816327,298.0,1.2298732968034478,0.10316291889413914,0.050107749494559484,0.001924845228850597,1.385068810420997,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.5757142857142857,298.0,1.2298732968034478,0.10408031237573435,0.051930184174927375,0.002000595281447087,1.3878843886355565,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.5959183673469388,298.0,1.2298732968034478,0.10496605970294597,0.05375261885529526,0.0020767948837862355,1.3906687702454754,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.6161224489795918,298.0,1.2298732968034478,0.10582227158184947,0.055575053535663145,0.0021534494035764552,1.393424071324537,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.636326530612245,298.0,1.2298732968034478,0.1066508543487409,0.057397488216031044,0.0022305643052410217,1.3961522036734608,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.656530612244898,298.0,1.2298732968034478,0.10745353553151218,0.05921992289639892,0.002308145152255567,1.3988549003836146,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.676734693877551,298.0,1.2298732968034478,0.10823188553556667,0.06104235757676681,0.002386197609556665,1.401533737525338,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.696938775510204,298.0,1.2298732968034478,0.10898733613866161,0.06286479225713469,0.0024647274460240214,1.404190152645268,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.7171428571428571,298.0,1.2298732968034478,0.10972119634208373,0.06468722693750258,0.002543740537039094,1.406825460620073,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.7373469387755103,298.0,1.2298732968034478,0.11043466601904811,0.06650966161787047,0.0026232428671228705,1.4094408673074892,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.7575510204081634,298.0,1.2298732968034478,0.11112884771774241,0.06833209629823836,0.002703240532655872,1.4120374813520844,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.7777551020408163,298.0,1.2298732968034478,0.11180475691055532,0.07015453097860624,0.002783739744683387,1.414616324437293,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.7979591836734694,298.0,1.2298732968034478,0.11246333092866842,0.07197696565897413,0.0028647468318092205,1.4171783402228997,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.8181632653061225,298.0,1.2298732968034478,0.11310543677930975,0.07379940033934203,0.002946268243181283,1.419724402165281,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.8383673469387755,298.0,1.2298732968034478,0.11373187800926367,0.0756218350197099,0.003028310551572607,1.4222553203839943,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.8585714285714285,298.0,1.2298732968034478,0.11434340075095094,0.0774442697000778,0.0031108804565613763,1.424771847711038,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.8787755102040816,298.0,1.2298732968034478,0.11494069906519175,0.07926670438044568,0.0031939847878139313,1.4272746850368991,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.8989795918367347,298.0,1.2298732968034478,0.11552441967659981,0.08108913906081357,0.0032776305084746492,1.429764486049336,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.9191836734693877,298.0,1.2298732968034478,0.11609516618262498,0.08291157374118145,0.0033618247186670293,1.4322418614459214,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.9393877551020408,298.0,1.2298732968034478,0.11665350280492641,0.08473400842154934,0.0034465746591102716,1.434707382689034,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.959591836734694,298.0,1.2298732968034478,0.11719995774152485,0.08655644310191724,0.0035318877148560464,1.4371615853617459,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.9797959183673469,298.0,1.2298732968034478,0.11773502616965574,0.08837887778228512,0.0036177714191502155,1.439604972174539,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,1.0,298.0,1.2298732968034478,0.11825917294210975,0.090201312462653,0.0037042334574246025,1.4420380156656354,tafel,0.01,0.090201312462653,3.9902653971846744,A
Ni-HER,0.01,333.0,1.25943737599895,-0.048691199729076574,0.0005859370311340628,2.1629078257393257e-05,1.2113537423792646,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.030204081632653063,333.0,1.25943737599895,-0.016971181367014105,0.0017697689919967613,6.542838362487649e-05,1.2443013920075572,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.05040816326530612,333.0,1.25943737599895,-0.00227392059755169,0.0029536009528594595,0.00010936180340269428,1.2602264181576603,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.07061224489795918,333.0,1.25943737599895,0.007397984329759097,0.004137432913722158,0.00015343016143651273,1.2711262234038678,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.09081632653061224,333.0,1.25943737599895,0.014618846324265867,0.005321264874584856,0.0001976342891865424,1.279575121486987,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.1110204081632653,333.0,1.25943737599895,0.020383098018484237,0.006505096835447554,0.00024197502582166372,1.2865675458787034,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
